people_id,movie_id
p_196816,64331
p_196817,64331
p_70234,64331
p_18339,64331
p_238179,64331
p_31551,57718
p_119005,57718
p_172744,57718
p_13787,57718
p_39008,57718
p_25834,115611
p_249731,115611
p_79503,115611
p_249787,115611
p_86168,17345
p_33135,17345
p_202484,65573
p_202485,65573
p_202486,65573
p_202487,65573
p_202488,65573
p_202489,65573
p_202490,65573
p_202491,65573
p_55795,8430
p_55796,8430
p_55797,8430
p_55798,8430
p_39953,8430
p_55799,8430
p_649,8430
p_55800,8430
p_3774,8430
p_47820,91481
p_227415,91481
p_2415,91481
p_50,91481
p_24041,91481
p_51485,91481
p_80856,91481
p_99418,91481
p_170194,91481
p_254701,91481
p_180530,91481
p_278352,181062
p_278353,181062
p_263788,181062
p_278354,181062
p_227270,82168
p_227271,82168
p_227272,82168
p_227273,82168
p_227274,82168
p_227275,82168
p_19277,72129
p_87755,72129
p_36216,72129
p_166376,72129
p_82618,72129
p_161000,72129
p_151316,48309
p_151317,48309
p_151318,48309
p_112223,48309
p_151319,48309
p_151320,48309
p_151321,48309
p_151322,48309
p_151323,48309
p_151324,48309
p_70165,62083
p_49025,62083
p_25347,62083
p_47337,62083
p_13689,62083
p_2412,62083
p_86041,62083
p_64541,62083
p_16873,62083
p_19360,62083
p_112381,62083
p_186615,62083
p_186616,62083
p_24396,62083
p_74149,62083
p_20235,62083
p_186617,62083
p_34107,62083
p_186618,62083
p_186619,62083
p_186620,62083
p_186621,62083
p_186622,62083
p_19734,62083
p_186623,62083
p_186624,62083
p_186625,62083
p_47335,62083
p_186626,62083
p_186627,62083
p_186628,62083
p_186629,62083
p_186630,62083
p_186631,62083
p_186632,62083
p_19162,68592
p_24299,68592
p_1958,68592
p_114797,68592
p_243077,146684
p_261531,146684
p_261532,146684
p_261533,146684
p_261534,146684
p_192,186
p_140,186
p_2282,186
p_2283,186
p_62,186
p_2299,186
p_63859,186
p_86422,186
p_41294,186
p_61015,186
p_1004,186
p_264957,152464
p_56882,33226
p_107522,33226
p_107523,33226
p_64122,33226
p_47153,33226
p_40420,33226
p_197528,33226
p_107524,33226
p_107525,33226
p_71154,33226
p_197529,33226
p_197530,33226
p_197531,33226
p_138946,33226
p_197532,33226
p_197533,33226
p_116842,33226
p_197534,33226
p_95716,33226
p_197535,33226
p_197536,33226
p_72911,33226
p_197537,33226
p_197538,33226
p_197539,33226
p_197540,33226
p_42,33226
p_119316,33226
p_34865,33226
p_197541,33226
p_197542,33226
p_197543,33226
p_119106,33226
p_197544,33226
p_147104,33226
p_1646,33226
p_197545,33226
p_73213,33226
p_197546,33226
p_197547,33226
p_153034,33226
p_197548,33226
p_197549,33226
p_197550,33226
p_1003,3964
p_1925,3964
p_34627,3964
p_19162,3964
p_24590,3964
p_35076,3964
p_35077,3964
p_5440,3964
p_84859,3964
p_5444,3964
p_94929,3964
p_151102,3964
p_151916,3964
p_61623,3964
p_5437,3964
p_116611,3964
p_71376,3964
p_5425,3964
p_28462,3964
p_22383,39737
p_1936,39737
p_51839,39737
p_32677,39737
p_33810,39737
p_106993,32853
p_106994,32853
p_106991,32853
p_97336,32853
p_132730,32853
p_21105,37986
