people_id,name,birth_date
p_197548,Else Petersen,\N
p_197549,Søren Helding Madsen,\N
p_197550,Ole Emil Riisager,\N
p_1003,Jean Reno,1948-07-30
p_1925,Vincent Cassel,1966-11-23
p_34627,Nadia Farès,1973-12-20
p_24590,Dominique Sanda,1948-03-11
p_35076,Karim Belkhadra,1963-12-04
p_35077,Didier Flamand,\N
p_5440,François Levantal,1960-10-14
p_84859,Francine Bergé,1938-07-21
p_5444,Philippe Nahon,1938-12-24
p_94929,Laurent Lafitte,1973-08-22
p_151102,Robert Gendreu,\N
p_151916,Nicky Naude,\N
p_61623,Tonio Descanvelle,\N
p_5437,Vincent Tulli,1966-02-05
p_116611,Nicolas Koretzky,1972-08-30
p_71376,Sami Zitouni,\N
p_5425,Christophe Rossignon,1959-11-26
p_28462,Dominique Bettenfeld,\N
p_22383,Franco Nero,1941-11-23
p_1936,Martin Balsam,1919-11-04
p_51839,Marilù Tolo,1944-01-16
p_32677,Claudio Gora,1913-07-27
p_33810,Luciano Catenacci,1933-04-13
p_106993,Taalaikan Abazova,\N
p_106994,Asan Amanov,\N
p_106991,Aktan Arym Kubat,\N
p_97336,Aktan Abdykalykov,\N
p_132730,Askat Sulaimanov,\N
p_21105,Jay Thomas,1948-07-12
p_117958,Mark Arnott,1950-06-15
p_56055,Deanna Oliver,\N
p_93182,Hugh Maguire,\N
p_115312,Steve Giannelli,\N
p_18259,Jason James Richter,1980-01-29
p_18260,August Schellenberg,1936-07-25
p_6907,Annie Corley,1952-01-01
p_89457,Vincent Berry,\N
p_32286,Patrick Kilpatrick,1949-08-20
p_83202,Tasha Simms,\N
p_78338,Peter LaCroix,\N
p_81136,Stephen E. Miller,1947-01-01
p_25386,Ian Tracey,1964-06-26
p_120419,Ina Bye-Hansen,\N
p_120424,Sander Berglund Francis,\N
p_120425,Ragnhild Gudbrandsen,\N
p_120427,Nadine Hegvold,\N
p_120428,Janne Langaas,\N
p_250342,Amina Hegvold Sanca,\N
